coach,seasons,is_active,games,wins,losses,ties,playoff_births,games_playoff,wins_playoff,losses_playoff,ties_playoff,games_superbowl,wins_superbowl,ats_pct,ats_return,ats_risked,avg_pf,avg_pa,avg_margin,avg_spread,ats_pct_home,ats_pct_away,ats_pct_playoff,ats_pct_favorite,ats_pct_underdog,ats_pct_div,ats_pct_non_div,ats_pct_bye,ats_pct_dome,ats_roi,win_pct,win_pct_playoff,teams,pfr_coach_image_url,pfr_coach_tree_hired_by,pfr_coach_tree_hired
Mike Tomlin,19,1,316.0,195.0,119.0,2,12.0,19.0,8.0,11.0,0.0,3.0,2.0,0.5307443365695793,4.499999999999988,347.6,22.905064,19.936708,2.9683545,-2.318038,0.5584415584415584,0.5032258064516129,0.4117647058823529,0.4803921568627451,0.6285714285714286,0.5855855855855856,0.5,0.5416666666666666,0.5925925925925926,0.012945914844648986,0.6170886075949367,0.42105263157894735,"['{""team"" : ""PIT"", ""color"" : ""#000000""}']",https://www.pro-football-reference.com/req/20230307/images/headshots/TomlMi0c_2020.jpg,"ChilBr0,DungTo0,GrudJo0","AriaBr0,FlorBr0,HaleTo0,LeBeDi0,MuncMi0,SmitAr0"
Chuck Knox,22,0,352.0,193.0,158.0,1,11.0,18.0,7.0,11.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.5482954545454546,0.3888888888888889,,https://www.pro-football-reference.com/req/20230307/images/headshots/KnoxCh0c_2017.jpg,SchmJo0,"BennLe0,FaulJa0,MalaRa0,MartMi0,MeyeKe0,ProcRa0,StepKa0,VermDi0,VittJo0"
John Harbaugh,18,1,306.0,186.0,120.0,0,12.0,24.0,13.0,11.0,0.0,2.0,1.0,0.527027027027027,1.9999999999999876,336.6,24.539215,19.415033,5.124183,-2.754902,0.4794520547945205,0.5733333333333334,0.625,0.5,0.5851063829787234,0.5098039215686274,0.5360824742268041,0.5714285714285714,0.6086956521739131,0.005941770647652963,0.6078431372549019,0.5416666666666666,"['{""team"" : ""BAL"", ""color"" : ""#241773""}']",https://www.pro-football-reference.com/req/20230307/images/headshots/HarbJo0c_2021.jpg,"ReidAn0,RhodRa0","CaldJi0,CameCa0,CullDa0,FangVi0,FrazLe0,JackHu0,KubiGa0,MacdMi0,MornMa0,PagaCh0,PettMi0,RosbJe0,RyanRe0,SaunAl0,SpagSt0,TresMa0,ZornJi0"
Mike McCarthy,18,0,310.0,185.0,123.0,2,12.0,22.0,11.0,11.0,0.0,1.0,1.0,0.5562913907284768,20.599999999999987,341.0,26.332258,22.429031,3.903226,-2.5564516,0.5637583892617449,0.5490196078431373,0.5714285714285714,0.5927835051546392,0.49074074074074076,0.6111111111111112,0.5257731958762887,0.6818181818181818,0.5638297872340425,0.0604105571847507,0.5967741935483871,0.5,"['{""team"" : ""GB"", ""color"" : ""#203731""}', '{""team"" : ""DAL"", ""color"" : ""#002244""}']",https://www.pro-football-reference.com/req/20230307/images/headshots/McCaMi0c_2021.jpg,"HaslJi0,NolaMi0,RhodRa0,SchoMa0","CapeDo0,FassJo0,McAdBe0,MoorKe0,NolaMi0,PettMi0,PhilJo0,QuinDa0,SchoBr0,TomsJi0,ZimmMi0"
Sean Payton,18,1,299.0,183.0,116.0,0,10.0,18.0,9.0,9.0,0.0,2.0,2.0,0.5423728813559322,11.499999999999988,328.90000000000003,26.83612,22.488295,4.347826,-2.6755853,0.527027027027027,0.5578231292517006,0.3888888888888889,0.5279187817258884,0.5714285714285714,0.5428571428571428,0.5421052631578948,0.5714285714285714,0.49707602339181284,0.034965034965034926,0.6120401337792643,0.5,"['{""team"" : ""NO"", ""color"" : ""#D3BC8D""}', '{""team"" : ""DEN"", ""color"" : ""#002244""}']",,"FassJi0,ParcBi0,RhodRa0","AlleDe0,CampDa1,GlenAa0,JoseVa0,KromAa0,MarrDo0,NolaMi0,RizzDa0,TresMa0,VittJo0,WillGr0"
Pete Carroll,19,1,319.0,183.0,135.0,1,12.0,22.0,11.0,11.0,0.0,3.0,2.0,0.5214007782101168,-1.300000000000011,294.8,23.623135,20.548508,3.074627,-1.7835821,0.5390625,0.5038759689922481,0.47368421052631576,0.48,0.5794392523364486,0.4838709677419355,0.5426829268292683,0.4444444444444444,0.48,-0.004409769335142507,0.5736677115987461,0.5,"['{""team"" : ""SEA"", ""color"" : ""#002244""}', '{""team"" : ""NE"", ""color"" : ""#002244""}', '{""team"" : ""OAK"", ""color"" : ""#000000""}', '{""team"" : ""OAK"", ""color"" : ""#000000""}']",https://www.pro-football-reference.com/req/20230307/images/headshots/CarrPe0c_2020.jpg,"BurnJe0,CoslBr0,GranBu0,SeifGe0,StepKa0","BeveDa0,BradGu0,CablTo0,CanaDa0,KellCh0,PhilJo0,QuinDa0,SaleRo0,SchoBr0,UlbrJe0"
Bill Parcells,19,0,322.0,183.0,138.0,1,10.0,19.0,11.0,8.0,0.0,3.0,2.0,0.5,-3.8000000000000034,90.2,20.365854,20.512196,-0.14634146,-0.7987805,0.5,0.5,0.0,0.475,0.5428571428571428,0.5,0.5,0.6,0.5,-0.042128603104212896,0.5683229813664596,0.5789473684210527,"['{""team"" : ""DAL"", ""color"" : ""#002244""}', '{""team"" : ""NYJ"", ""color"" : ""#003F2D""}']",https://www.pro-football-reference.com/req/20230307/images/headshots/ParcBi0c_2017.jpg,"ErhaRo0,PerkRa0","BeliBi0,BowlTo0,CougTo0,CrenRo0,ErhaRo0,GrohAl0,HaleTo0,HandRa0,HennDa0,KitcFr0,LynnAn0,MangEr0,PalmCh0,PaytSe0,PerkRa0,SparTo0,ZimmMi0"
Tom Coughlin,20,0,339.0,182.0,157.0,0,9.0,19.0,12.0,7.0,0.0,2.0,2.0,0.5307692307692308,3.799999999999989,295.90000000000003,23.315985,21.509295,1.8066914,-1.3141264,0.484375,0.5757575757575758,0.7692307692307693,0.5133333333333333,0.5545454545454546,0.5238095238095238,0.535483870967742,0.55,0.7037037037037037,0.012842176410949606,0.5368731563421829,0.631578947368421,"['{""team"" : ""NYG"", ""color"" : ""#0B2265""}', '{""team"" : ""JAX"", ""color"" : ""#006778""}']",https://www.pro-football-reference.com/req/20230307/images/headshots/CougTo0c_2019.jpg,"BrunFr0,CampMa0,GregFo0,ParcBi0","CapeDo0,FewePe0,GanzFr0,GilbKe0,JaurDi0,KiffLa0,McAdBe0,MoelGa0,PalmCh0,PetrBo0,RhulMa0,RustRo0,SpagSt0,SparTo0"
Mike Shanahan,20,0,322.0,178.0,144.0,0,8.0,14.0,8.0,6.0,0.0,2.0,2.0,0.46846846846846846,-25.80000000000001,253.00000000000003,22.4,22.552174,-0.1521739,-1.2130435,0.43636363636363634,0.5,0.16666666666666666,0.41935483870967744,0.5263157894736842,0.5294117647058824,0.4306569343065693,0.625,0.48,-0.10197628458498027,0.5527950310559007,0.5714285714285714,"['{""team"" : ""DEN"", ""color"" : ""#002244""}', '{""team"" : ""WAS"", ""color"" : ""#5A1414""}']",https://www.pro-football-reference.com/req/20230307/images/headshots/ShanMi0c_2017.jpg,"ReevDa0,SeifGe0","BateJi0,HaslJi0,KubiGa0,LaFlMa0,LynnAn0,McDaMi0,McVaSe0,MorrRa0,RhodRa0,RobiTe0,ShanKy0,ShelAr0"
Jeff Fisher,22,0,350.0,178.0,171.0,1,6.0,11.0,5.0,6.0,0.0,1.0,0.0,0.49458483754512633,-17.000000000000014,311.3,20.89046,21.561838,-0.6713781,0.3869258,0.4927536231884058,0.49640287769784175,0.5,0.4645669291338583,0.5167785234899329,0.5130434782608696,0.48148148148148145,0.5,0.5625,-0.05460970125281084,0.5085714285714286,0.45454545454545453,"['{""team"" : ""TEN"", ""color"" : ""#002244""}', '{""team"" : ""LAR"", ""color"" : ""#003594""}', '{""team"" : ""LAR"", ""color"" : ""#003594""}', '{""team"" : ""LAR"", ""color"" : ""#003594""}']",,"PardJa0,RobiJo0,RyanBu0,SeifGe0","BettTo0,CunnGu0,FassJo0,GilbKe0,McGiDa0,MuncMi0,SchoBr0,SchwJi0,SingMi0,StecLe0,WillGr0"
