,coach,games,seasons,wins,losses,ties,playoff_births,games_playoff,wins_playoff,losses_playoff,games_superbowl,wins_superbowl
112,Neill Armstrong,65.0,4,30.0,35.0,0,1.0,1.0,0.0,1.0,0.0,0.0
113,Dutch Clark,66.0,6,30.0,34.0,2,0.0,0.0,0.0,0.0,0.0,0.0
114,Walt Kiesling,90.0,9,30.0,55.0,5,0.0,0.0,0.0,0.0,0.0,0.0
115,John Mackovic,65.0,4,30.0,35.0,0,1.0,1.0,0.0,1.0,0.0,0.0
116,Mike McCormack,81.0,6,29.0,51.0,1,0.0,0.0,0.0,0.0,0.0,0.0
117,Alex Webster,70.0,5,29.0,40.0,1,0.0,0.0,0.0,0.0,0.0,0.0
118,Don McCafferty,52.0,4,32.0,18.0,2,2.0,5.0,4.0,1.0,1.0,1.0
119,Jock Sutherland,46.0,4,28.0,17.0,1,1.0,1.0,0.0,1.0,0.0,0.0
120,Vince Tobin,48.0,3,20.0,28.0,0,1.0,2.0,1.0,1.0,0.0,0.0
121,Red Hickey,55.0,5,27.0,27.0,1,0.0,0.0,0.0,0.0,0.0,0.0
122,Jack Christiansen,67.0,5,26.0,38.0,3,0.0,0.0,0.0,0.0,0.0,0.0
123,Dudley DeGroot,46.0,4,26.0,17.0,3,1.0,1.0,0.0,1.0,0.0,0.0
124,Joe Philbin,-12.0,0,-5.0,-7.0,0,0.0,0.0,0.0,0.0,0.0,0.0
125,Hampton Pool,48.0,5,26.0,20.0,2,1.0,1.0,0.0,1.0,0.0,0.0
126,Dan Devine,57.0,4,25.0,28.0,4,1.0,1.0,0.0,1.0,0.0,0.0
127,Jim Trimble,48.0,4,25.0,20.0,3,0.0,0.0,0.0,0.0,0.0,0.0
128,Joe Bugel,80.0,5,24.0,56.0,0,0.0,0.0,0.0,0.0,0.0,0.0
129,Ralph Jones,41.0,3,24.0,10.0,7,0.0,0.0,0.0,0.0,0.0,0.0
130,Red Strader,47.0,4,24.0,23.0,0,1.0,1.0,0.0,1.0,0.0,0.0
131,Hunk Anderson,38.0,4,24.0,12.0,2,2.0,2.0,1.0,1.0,0.0,0.0
132,Al Davis,42.0,3,23.0,16.0,3,0.0,0.0,0.0,0.0,0.0,0.0
133,Luke Johnsos,38.0,4,24.0,12.0,2,2.0,2.0,1.0,1.0,0.0,0.0
134,Gene Stallings,58.0,4,23.0,34.0,1,0.0,0.0,0.0,0.0,0.0,0.0
135,June Jones,59.0,4,22.0,37.0,0,1.0,1.0,0.0,1.0,0.0,0.0
136,Joe Bach,48.0,4,21.0,27.0,0,0.0,0.0,0.0,0.0,0.0,0.0
137,Phil Bengtson,47.0,4,21.0,25.0,1,0.0,0.0,0.0,0.0,0.0,0.0
138,Ron Erhardt,49.0,4,21.0,28.0,0,0.0,0.0,0.0,0.0,0.0,0.0
139,Bill McPeak,70.0,5,21.0,46.0,3,0.0,0.0,0.0,0.0,0.0,0.0
140,Harland Svare,74.0,7,21.0,48.0,5,0.0,0.0,0.0,0.0,0.0,0.0
141,Jim Dooley,56.0,4,20.0,36.0,0,0.0,0.0,0.0,0.0,0.0,0.0
142,Gus Dorais,53.0,5,20.0,31.0,2,0.0,0.0,0.0,0.0,0.0,0.0
143,John Michelosen,48.0,4,20.0,26.0,2,0.0,0.0,0.0,0.0,0.0,0.0
144,Joe Stydahar,52.0,5,22.0,29.0,1,2.0,3.0,2.0,1.0,0.0,0.0
145,Frankie Albert,37.0,3,19.0,17.0,1,1.0,1.0,0.0,1.0,0.0,0.0
146,Red Dawson,50.0,4,20.0,26.0,4,1.0,2.0,1.0,1.0,0.0,0.0
147,David Shula,71.0,5,19.0,52.0,0,0.0,0.0,0.0,0.0,0.0,0.0
148,Sammy Baugh,42.0,3,18.0,24.0,0,0.0,0.0,0.0,0.0,0.0,0.0
149,Bill Johnson,33.0,3,18.0,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0
150,Darryl Rogers,58.0,4,18.0,40.0,0,0.0,0.0,0.0,0.0,0.0,0.0
151,Bill Austin,56.0,4,17.0,36.0,3,0.0,0.0,0.0,0.0,0.0,0.0
152,Lisle Blackbourn,48.0,4,17.0,31.0,0,0.0,0.0,0.0,0.0,0.0,0.0
153,Dan Campbell,12.0,1,5.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0
154,Otto Graham,42.0,3,17.0,22.0,3,0.0,0.0,0.0,0.0,0.0,0.0
155,Dave McGinnis,2.0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
156,Al Saunders,39.0,3,17.0,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0
157,Dewey Scanlon,36.0,4,17.0,15.0,4,0.0,0.0,0.0,0.0,0.0,0.0
158,Norm Barry,26.0,2,16.0,8.0,2,0.0,0.0,0.0,0.0,0.0,0.0
159,Milan Creighton,46.0,4,16.0,26.0,4,0.0,0.0,0.0,0.0,0.0,0.0
160,Turk Edwards,35.0,3,16.0,18.0,1,0.0,0.0,0.0,0.0,0.0,0.0
161,Elgie Tobin,23.0,2,16.0,3.0,4,0.0,0.0,0.0,0.0,0.0,0.0
162,Rick Forzano,32.0,3,15.0,17.0,0,0.0,0.0,0.0,0.0,0.0,0.0
163,Earl Potteiger,31.0,3,15.0,12.0,4,0.0,0.0,0.0,0.0,0.0,0.0
164,Adam Walsh,22.0,2,16.0,5.0,1,1.0,1.0,1.0,0.0,0.0,0.0
165,Ed Weir,26.0,2,15.0,7.0,4,0.0,0.0,0.0,0.0,0.0,0.0
166,Mike White,32.0,2,15.0,17.0,0,0.0,0.0,0.0,0.0,0.0,0.0
167,Punk Berryman,25.0,2,14.0,10.0,1,0.0,0.0,0.0,0.0,0.0,0.0
168,Ray Handley,32.0,2,14.0,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0
169,Bo McMillin,38.0,4,14.0,24.0,0,0.0,0.0,0.0,0.0,0.0,0.0
170,John McVay,37.0,3,14.0,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0
171,Ray Richards,36.0,3,14.0,21.0,1,0.0,0.0,0.0,0.0,0.0,0.0
172,Gene Ronzani,46.0,4,14.0,31.0,1,0.0,0.0,0.0,0.0,0.0,0.0
173,Babe Ruetz,31.0,3,14.0,11.0,6,0.0,0.0,0.0,0.0,0.0,0.0
174,Paul Schissler,46.0,4,14.0,29.0,3,0.0,0.0,0.0,0.0,0.0,0.0
175,Clark Shaughnessy,25.0,2,14.0,8.0,3,1.0,1.0,0.0,1.0,0.0,0.0
176,Jim Thorpe,41.0,4,14.0,25.0,2,0.0,0.0,0.0,0.0,0.0,0.0
177,Bull Behman,40.0,3,13.0,20.0,7,0.0,0.0,0.0,0.0,0.0,0.0
178,Rich Brooks,32.0,2,13.0,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0
179,Joe Collier,31.0,3,13.0,17.0,1,1.0,1.0,0.0,1.0,0.0,0.0
180,Cap Edwards,31.0,3,13.0,11.0,7,0.0,0.0,0.0,0.0,0.0,0.0
181,Tom Fears,49.0,4,13.0,34.0,2,0.0,0.0,0.0,0.0,0.0,0.0
182,Arnie Horween,22.0,2,13.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0
183,Jimmy Phelan,50.0,4,13.0,35.0,2,0.0,0.0,0.0,0.0,0.0,0.0
184,Lud Wray,41.0,4,13.0,25.0,3,0.0,0.0,0.0,0.0,0.0,0.0
185,Jack Depler,38.0,3,12.0,21.0,5,0.0,0.0,0.0,0.0,0.0,0.0
186,Ernie Nevers,41.0,4,12.0,27.0,2,0.0,0.0,0.0,0.0,0.0,0.0
187,Rube Ursella,24.0,3,12.0,8.0,5,0.0,0.0,0.0,0.0,0.0,0.0
188,Bud Carson,27.0,2,12.0,14.0,1,1.0,2.0,1.0,1.0,0.0,0.0
189,Lone Star Dietz,24.0,2,11.0,11.0,2,0.0,0.0,0.0,0.0,0.0,0.0
190,Abe Gibron,42.0,3,11.0,30.0,1,0.0,0.0,0.0,0.0,0.0,0.0
191,Tommy Hudspeth,24.0,2,11.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0
192,Frank Kush,40.0,3,11.0,28.0,1,0.0,0.0,0.0,0.0,0.0,0.0
193,John North,34.0,3,11.0,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0
194,Buster Ramsey,28.0,2,11.0,16.0,1,0.0,0.0,0.0,0.0,0.0,0.0
195,Lou Rymkus,20.0,2,12.0,7.0,1,1.0,1.0,1.0,0.0,0.0,0.0
196,Paul Wiggin,35.0,3,11.0,24.0,0,0.0,0.0,0.0,0.0,0.0,0.0
197,Bert Bell,58.0,6,10.0,46.0,2,0.0,0.0,0.0,0.0,0.0,0.0
198,Guil Falcon,25.0,3,10.0,10.0,5,0.0,0.0,0.0,0.0,0.0,0.0
199,Harry Gilmer,28.0,2,10.0,16.0,2,0.0,0.0,0.0,0.0,0.0,0.0
200,Cecil Isbell,35.0,4,10.0,24.0,1,1.0,1.0,0.0,1.0,0.0,0.0
201,Kay Stephenson,36.0,3,10.0,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0
202,Jack Faulkner,32.0,3,9.0,22.0,1,0.0,0.0,0.0,0.0,0.0,0.0
203,John Mazur,30.0,3,9.0,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0
204,Cap McEwan,21.0,2,9.0,11.0,1,0.0,0.0,0.0,0.0,0.0,0.0
205,Nelson Talbot,18.0,2,9.0,6.0,3,0.0,0.0,0.0,0.0,0.0,0.0
206,Charlie Waller,19.0,2,9.0,7.0,3,0.0,0.0,0.0,0.0,0.0,0.0
207,Bob Waterfield,34.0,3,9.0,24.0,1,0.0,0.0,0.0,0.0,0.0,0.0
208,Bud Wilkinson,29.0,2,9.0,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0
209,Doc Alexander,18.0,2,8.0,8.0,2,0.0,0.0,0.0,0.0,0.0,0.0
210,Ed Biles,31.0,3,8.0,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0
211,Hugh Campbell,30.0,2,8.0,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0
212,Bob Folwell,12.0,1,8.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0
213,Jack Forsyth,16.0,2,8.0,6.0,2,0.0,0.0,0.0,0.0,0.0,0.0
214,Frank Gansz,31.0,2,8.0,22.0,1,0.0,0.0,0.0,0.0,0.0,0.0
215,Bob Hollway,28.0,2,8.0,18.0,2,0.0,0.0,0.0,0.0,0.0,0.0
216,Ed Khayat,25.0,2,8.0,15.0,2,0.0,0.0,0.0,0.0,0.0,0.0
217,Dick MacPherson,32.0,2,8.0,24.0,0,0.0,0.0,0.0,0.0,0.0,0.0
218,Fritz Pollard,13.0,2,8.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0
219,Homer Rice,27.0,2,8.0,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0
220,Carl Storck,38.0,5,8.0,26.0,4,0.0,0.0,0.0,0.0,0.0,0.0
221,Doug Wycoff,22.0,2,8.0,9.0,5,0.0,0.0,0.0,0.0,0.0,0.0
222,Bill Arnsparger,35.0,3,7.0,28.0,0,0.0,0.0,0.0,0.0,0.0,0.0
223,Hugh Devore,26.0,3,7.0,18.0,1,0.0,0.0,0.0,0.0,0.0,0.0
224,Frank Filchock,28.0,2,7.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0.0
225,Herb Kopf,31.0,3,7.0,22.0,2,0.0,0.0,0.0,0.0,0.0,0.0
226,J.D. Roberts,35.0,3,7.0,25.0,3,0.0,0.0,0.0,0.0,0.0,0.0
227,Ralph Scott,16.0,1,7.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0
228,Clipper Smith,24.0,2,7.0,16.0,1,0.0,0.0,0.0,0.0,0.0,0.0
229,Jerry Williams,31.0,3,7.0,22.0,2,0.0,0.0,0.0,0.0,0.0,0.0
230,Dutch Bergman,12.0,1,7.0,4.0,1,1.0,2.0,1.0,1.0,0.0,0.0
231,Johnny Blood,25.0,3,6.0,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0
232,Eddie Erdelatz,16.0,2,6.0,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0
233,Kevin Gilbride,22.0,2,6.0,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0
234,Archie Golembeski,12.0,1,6.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0
235,Gus Henderson,11.0,1,6.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0
236,Tut Imlay,10.0,1,6.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0
237,Brick Muller,10.0,1,6.0,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0
238,Mike Nixon,38.0,3,6.0,30.0,2,0.0,0.0,0.0,0.0,0.0,0.0
239,Bob Snyder,12.0,1,6.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0
240,Mac Speedie,26.0,3,6.0,19.0,1,0.0,0.0,0.0,0.0,0.0,0.0
241,John Armstrong,9.0,1,5.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0
242,Clem Crowe,19.0,2,5.0,13.0,1,1.0,1.0,0.0,1.0,0.0,0.0
243,Rod Dowhower,29.0,2,5.0,24.0,0,0.0,0.0,0.0,0.0,0.0,0.0
244,Hal Erickson,13.0,1,5.0,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0
245,Benny Friedman,14.0,2,5.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0
246,Hal Griffen,14.0,1,5.0,6.0,3,0.0,0.0,0.0,0.0,0.0,0.0
247,Jim Laird,13.0,1,5.0,7.0,1,0.0,0.0,0.0,0.0,0.0,0.0
248,Ken Meyer,14.0,1,5.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0
249,Harry Robb,18.0,2,5.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0
250,Clive Rush,21.0,2,5.0,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0
251,Dick Todd,9.0,1,5.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0
252,Bulldog Turner,14.0,1,5.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0
253,Herman Ball,20.0,3,4.0,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0
254,Cliff Battles,21.0,2,4.0,16.0,1,0.0,0.0,0.0,0.0,0.0,0.0
255,Scotty Bierce,8.0,1,4.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0
256,Hank Bullough,22.0,3,4.0,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0
257,Russ Daugherty,10.0,1,4.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0
258,Aldo Donelli,15.0,2,4.0,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0
259,Bill Edwards,14.0,2,4.0,9.0,1,0.0,0.0,0.0,0.0,0.0,0.0
260,Phil Handler,38.0,5,4.0,34.0,0,0.0,0.0,0.0,0.0,0.0,0.0
261,Norb Hecker,31.0,3,4.0,26.0,1,0.0,0.0,0.0,0.0,0.0,0.0
262,Ed Hughes,14.0,1,4.0,9.0,1,0.0,0.0,0.0,0.0,0.0,0.0
263,Jim Kendrick,13.0,2,4.0,7.0,2,0.0,0.0,0.0,0.0,0.0,0.0
264,Art Lewis,8.0,1,4.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0
265,Gary Moeller,-2.0,0,0.0,-2.0,0,0.0,0.0,0.0,0.0,0.0,0.0
266,Richie Petitbon,16.0,1,4.0,12.0,0,0.0,0.0,0.0,0.0,0.0,0.0
267,Ed Robinson,11.0,1,4.0,4.0,3,0.0,0.0,0.0,0.0,0.0,0.0
268,Charley Rogers,10.0,1,4.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0
269,John Sandusky,9.0,1,4.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0
270,Howard Schnellenberger,17.0,2,4.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0
271,Joey Sternaman,7.0,1,4.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0
272,Hugh Taylor,14.0,1,4.0,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0
273,Red Weaver,17.0,2,4.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0
274,Richard Williamson,19.0,2,4.0,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0
